summary_type,group,level_1,price
nearest_area,Downtown,count,78.0
nearest_area,Downtown,median,2100.0
nearest_area,Downtown,p25,1862.5
nearest_area,Downtown,p75,2300.0
nearest_area,SFU,count,182.0
nearest_area,SFU,median,1900.0
nearest_area,SFU,p25,1750.0
nearest_area,SFU,p75,2225.0
nearest_area,UBC,count,16.0
nearest_area,UBC,median,2100.0
nearest_area,UBC,p25,1600.0
nearest_area,UBC,p75,2400.0
utilities_included,False,count,253.0
utilities_included,False,median,2000.0
utilities_included,False,p25,1795.0
utilities_included,False,p75,2295.0
utilities_included,True,count,23.0
utilities_included,True,median,1850.0
utilities_included,True,p25,1675.0
utilities_included,True,p75,2147.5
furnished,,count,160.0
furnished,,median,1980.0
furnished,,p25,1795.0
furnished,,p75,2250.0
furnished,False,count,41.0
furnished,False,median,2000.0
furnished,False,p25,1700.0
furnished,False,p75,2299.0
furnished,True,count,75.0
furnished,True,median,2000.0
furnished,True,p25,1700.0
furnished,True,p75,2300.0
near_transit,False,count,234.0
near_transit,False,median,1950.0
near_transit,False,p25,1750.0
near_transit,False,p75,2226.25
near_transit,True,count,42.0
near_transit,True,median,2297.5
near_transit,True,p25,1906.25
near_transit,True,p75,2450.0
pets_allowed,,count,132.0
pets_allowed,,median,1972.5
pets_allowed,,p25,1750.0
pets_allowed,,p75,2225.0
pets_allowed,False,count,120.0
pets_allowed,False,median,2000.0
pets_allowed,False,p25,1767.5
pets_allowed,False,p75,2299.25
pets_allowed,True,count,24.0
pets_allowed,True,median,2050.0
pets_allowed,True,p25,1870.0
pets_allowed,True,p75,2270.0
parking_available,False,count,41.0
parking_available,False,median,2225.0
parking_available,False,p25,1800.0
parking_available,False,p75,2400.0
parking_available,True,count,235.0
parking_available,True,median,1980.0
parking_available,True,p25,1750.0
parking_available,True,p75,2250.0
